电影名称,导演,主演,上映年份,类型,国家/地区,片长,豆瓣评分,评价人数,五星占比,短评总数,长评总数
巅峰猎杀,巴塔萨·科马库,查理兹·塞隆 / 塔伦·埃哲顿 / 艾瑞克·巴纳 / 马特·惠伦 / 贝茜·霍兰德 / 亚伦·佩德森 / 罗伯·卡尔顿 / 邓肯·法洛 / 朱莉娅·奥汉尼西安 / 尼阿姆·霍根 / 威洛·西格 / 扎卡里·加雷德 / 凯特琳·斯塔西,2026,动作 / 惊悚,加拿大 / 澳大利亚 / 美国 / 冰岛,95分钟,6.3,16966,,5946,29
河狸变身计划,丹尼尔·钟,佩珀·柯达 / 鲍比·莫尼汉 / 乔恩·哈姆 / 凯茜·纳基麦 / 戴夫·弗兰科 / 爱德华多·弗兰科 / 梅丽莎·维亚西诺尔 / 托马斯·劳 / 梅丽尔·斯特里普 / 瓦妮莎·贝尔 / 阿帕娜·南切拉 / 山姆·理查森 / 小伊塞亚·维特洛克 / 史蒂夫·波赛尔 / 艾戈·乌迪姆,2026,喜剧 / 科幻 / 动画,美国,105分钟,7.4,100655,,49012,514
杀人者报告,曹英俊,郑成日 / 赵汝贞,2025,犯罪,韩国,108分钟,7.1,13996,,4536,19
旅途中的日子,三宅唱,沈恩敬 / 堤真一 / 河合优实 / 高田万作 / 佐野史郎 / 齐藤阳一郎 / 松浦慎一郎 / 足立智充 / 梅舟惟永 / 柴田贵哉 / 中村祐太郎 / 贝拉·梅,2025,剧情,日本,89分钟,7.1,8596,,4477,34
替补悍警,本·维特利 ,鲍勃·奥登科克 / 琳娜·海蒂 / 布伦丹·弗莱彻 / 亨利·温克勒 / 布莱恩·川上 / 莎莫·H·豪威尔 / 德里克·巴恩斯 / 杰西卡·麦克劳德 / Dan De Jaeger / Reena Jolly / 劳伦·科克伦 / 大卫·劳伦斯·布朗 / 卡森·纳特拉斯 / 彼得·新田 / 辻将太,2025,动作 / 惊悚 / 犯罪,加拿大 / 美国,91分钟,6.3,3593,,1135,4
通往你的地图,拉斯·霍尔斯道姆,玛德琳·克莱因 / 乔什·卢卡斯 / K·J·阿帕 / 索菲亚·怀利 / 麦迪森·汤普森 / 奥兰多·诺曼 / 玛丽莲·卡茨 / J·R·埃斯波西托 / 朱塞佩·斯基拉奇 / 卡尔-埃尔·桑托斯 / 迭戈·罗斯 / 伊娃·加西亚·蒙蒂尔 / 豪尔赫·奥索里奥,2025,剧情 / 爱情,美国,96分钟,6.2,1413,,874,2
至尊马蒂,乔什·萨弗迪,提莫西·查拉梅 / 格温妮斯·帕特洛 / 敖德萨·阿锡安 / 凯文·奥利里 / 泰勒·奥康马 / 拉瑞·斯洛曼 / 阿贝尔·费拉拉 / 法兰·德瑞雪 / 桑德拉·伯恩哈德 / 川口功人 / 皮柯·耶尔 / 拉尔夫·克鲁奇 / 乔治·格文 / 卢克·曼利 / 艾莫里·科恩,2025,剧情 / 运动,芬兰 / 美国,150分钟,7.3,41634,,19893,272
妥瑞氏与我,柯克·琼斯,罗伯特·阿拉马约 / 彼得·穆兰 / 玛克辛·皮克 / 雪莉·亨德森 / 斯科特·埃利斯·沃特森 / 保罗·唐奈利 / 道格拉斯·兰金 / 亚当·迈克纳马拉 / 克里斯·迪克森 / 大卫·卡莱尔 / 史蒂芬·克里 / 安东尼·卡帕尔迪 / 安德列·比赛特 / 弗朗切斯科·皮亚森蒂尼-史密斯 / 戈登·皮亚斯顿,2025,剧情 / 传记 / 历史,英国,120分钟,8.4,5677,,2131,31
阿凡达：火与烬,詹姆斯·卡梅隆,萨姆·沃辛顿 / 佐伊·索尔达娜 / 西格妮·韦弗 / 史蒂芬·朗 / 奥娜·卓别林 / 凯特·温斯莱特 / 克利夫·柯蒂斯 / 乔·大卫·摩尔  / 希·庞德 / 埃迪·法可 / 大卫·休里斯 / 杰梅奈·克莱门特 / 吉奥瓦尼·瑞比西 / 布里顿·达尔顿 / 杰克·尚皮永,2025,动作 / 科幻 / 惊悚,美国,198分钟,7.5,280804,,119165,1410
万事顺利,児山隆,南沙良 / 出口夏希 / 吉田美月喜 / 羽村仁成 / 金子大地,2025,剧情,日本,119分钟,7.5,3748,,1872,10
飞驰人生3,韩寒,沈腾 / 尹正 / 黄景瑜 / 张本煜 / 魏翔 / 沙溢 / 范丞丞 / 孙艺洲 / 段奕宏 / 张新成 / 胡先煦 / 李治廷 / 白宇帆 / 周政杰 / 高华阳,2026,剧情 / 喜剧 / 运动,中国大陆,126分钟,7.1,464739,,172356,1543
长尾豹马修,菲利普·拉肖,菲利普·拉肖 / 贾梅尔·杜布兹 / 塔雷克·布达里 / 艾洛蒂·丰唐 / 朱利安·阿鲁蒂 / 阿尔班·伊万诺夫 / Corentin Guillot / 丽姆·柯里奇 / 让·雷诺 / 热拉尔·朱尼奥 / 迪迪埃·布尔东 / 帕科·布瓦松 / 贾梅尔·艾尔格比 / 凯瑟琳·吉昂 / 卡梅尔·拉布鲁迪,2026,喜剧 / 家庭 / 冒险,法国 / 比利时,99分钟,6.8,574,,159,0
你行！你上！,姜文,姜文 / 马丽 / 张乘郝 / 王硕珑 / 陆一 / 于和伟 / 余皑磊 / 何赛飞 / 辛芷蕾 / 雷佳音 / 葛优 / 王传君 / 胡歌 / 甄子丹 / 丁志诚,2025,剧情 / 喜剧,中国大陆,144分钟,6.5,138071,,62349,1049
像我这样的爱情,谭惠贞,廖子妤 / 陈家乐 / 刘雅丽 / 杨淇 / 刘若宝 / 林芷沿,2025,剧情 / 爱情,中国香港,105分钟,7.1,7116,,2856,31
