电影名称,导演,主演,上映年份,类型,国家/地区,片长,豆瓣评分,评价人数,五星占比,短评总数,长评总数
拼桌,吴靖,王传君 / 江疏影 / 李雪琴 / 郑云龙 / 傅首尔 / 刘佳 / 王彩平 / 杜家毅 / 吴冕 / 白举纲 / 老四 / 田小洁 / 罗海琼 / 齐溪 / 许龄月,2026,喜剧 / 爱情,中国大陆,98分钟,6.3,26929,,11542,132
超级马力欧银河大电影,亚伦·霍瓦斯 / 迈克尔·杰勒尼克,克里斯·帕拉特 / 安雅·泰勒-乔伊 / 查理·戴 / 杰克·布莱克 / 布丽·拉尔森 / 本·萨弗迪 / 唐纳德·格洛弗 / 科甘-迈克尔·凯 / 伊萨·雷 / 凯文·迈克尔·理查德森 / 路易斯·古兹曼 / 格伦·鲍威尔 / 萝珊娜·奥德嘉,2026,喜剧 / 动画 / 奇幻,日本 / 美国,99分钟,7.0,46885,,22822,179
惩罚者：最后一击,雷纳尔多·马库斯·格林,乔·博恩瑟 / 杰森·R·摩尔 / 朱迪斯·赖特 / 黛博拉·安·霍尔 / 安德烈·罗约 / 米拉·杰姆斯 / 尼克·库马拉索斯 / 贾马尔·劳埃德·约翰逊 / 多米尼克·曼齐诺 / 约瑟夫·德维托 / 大卫·曼努埃尔 / 多纳尔·奥·赫莱 / 约翰·道格拉斯·汤普森,2026,剧情 / 动作 / 惊悚,美国,50分钟,6.7,6646,,2090,13
震耳欲聋,万力,檀健次 / 兰西雅 / 王戈 / 潘斌龙 / 王砚辉 / 迟蓬 / 李菁菁 / 范翔 / 胡晓光 / 宁桓宇 / 吴昊宸 / 周政杰 / 欧剑宇 / 蒋中炜 / 谢承颖,2025,剧情 / 犯罪,中国大陆,125分钟,7.4,268443,,156105,7597
她们的狂想曲,苏珊娜·海因里希,罗莎·兰德斯 / 西奥·科拉鲁索,2026,剧情 / 歌舞,德国 / 法国,82分钟,7.1,318,,194,2
纽伦堡,詹姆斯·范德比尔特,罗素·克劳 / 拉米·马雷克 / 利奥·伍德尔 / 迈克尔·珊农 / 理查德·E·格兰特 / 科林·汉克斯 / 约翰·斯拉特里 / 瑞安·施密特 / 洛特·弗贝克 / 马克·奥布莱恩 / 安德烈亚斯·皮特斯柯曼 / 史蒂文·佩西 / 莉迪亚·佩克汉 / 丹·凯德 / 罗德里克·希尔,2025,剧情 / 惊悚 / 历史,匈牙利 / 美国,148分钟,7.3,5025,,1809,31
南京照相馆,申奥,刘昊然 / 王传君 / 高叶 / 王骁 / 周游 / 杨恩又 / 原岛大地 / 王真儿 / 杨皓宇 / 刘亦淳,2025,剧情 / 历史 / 战争,中国大陆,137分钟,8.7,575849,,205091,3580
我们不是陌生人,陈哲艺,杨雁雁 / 许家乐 / 林伟文 / 林咏谊 / 杨世彬,2026,剧情,新加坡,157分钟,5.7,742,,455,7
飞行家,鹏飞,蒋奇明 / 李雪琴 / 董宝石 / 姜武 / 杨玏 / 蒋易 / 雷佳音 / 董子健 / 王彦霖 / 欧剑宇 / 英泽 / 郑昊森 / 周铁男 / 鹏飞 / 韩秀一,2025,剧情 / 喜剧,中国大陆,122分钟,7.1,62822,,26456,406
洛杉矶劫案,巴特·雷顿,克里斯·海姆斯沃斯 / 马克·鲁法洛 / 巴里·基奥恩 / 哈莉·贝瑞 / 莫妮卡·巴巴罗 / 科里·霍金斯 / 尼克·诺特 / 詹妮弗·杰森·李 / 泰特·多诺万 / 保罗·安德斯坦 / 戴文·博斯蒂克 / 德鲁·鲍威尔 / 帕特里克·穆尔维 / 马修·德尔·内格罗 / 安德拉·内切塔,2026,剧情 / 动作 / 犯罪,美国 / 英国,141分钟,6.5,35972,,15608,161
